City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Caravelas,-17.7125,-39.2481,72.39,98,100,2.71,BR,2021-12-09 18:49:14
68,Nome,64.5011,-165.4064,10.47,72,90,8.05,US,2021-12-09 18:49:14
69,Hilo,19.7297,-155.09,75.25,40,75,6.91,US,2021-12-09 18:49:14
70,Santa Vitoria Do Palmar,-33.5189,-53.3681,71.92,62,44,14.58,BR,2021-12-09 18:49:14
71,Port Elizabeth,-33.918,25.5701,68.29,100,75,9.22,ZA,2021-12-09 18:49:15
72,Tuatapere,-46.1333,167.6833,53.82,87,6,3.09,NZ,2021-12-09 18:49:15
73,Bethel,41.3712,-73.414,37.49,61,1,1.99,US,2021-12-09 18:49:15
74,Boguchany,58.3814,97.4531,5.83,93,100,12.91,RU,2021-12-09 18:49:15
75,Grindavik,63.8424,-22.4338,36.07,87,75,3.44,IS,2021-12-09 18:49:16
76,Kruisfontein,-34.0033,24.7314,65.88,94,100,5.66,ZA,2021-12-09 18:49:16
77,Jesi,43.5288,13.2402,43.05,64,100,4.0,IT,2021-12-09 18:49:17
78,Alta,69.9689,23.2717,7.86,71,0,6.91,NO,2021-12-09 18:49:17
79,East London,-33.0153,27.9116,70.74,94,0,5.75,ZA,2021-12-09 18:48:33
80,Marsh Harbour,26.5412,-77.0636,77.43,74,70,2.19,BS,2021-12-09 18:48:07
81,Careiro Da Varzea,-3.2003,-59.8119,83.01,71,100,6.55,BR,2021-12-09 18:49:17
82,Sitka,57.0531,-135.33,35.49,80,90,0.0,US,2021-12-09 18:49:18
83,Port Hawkesbury,45.6169,-61.3485,30.18,89,90,11.01,CA,2021-12-09 18:49:18
84,Airai,-8.9266,125.4092,61.07,90,87,1.05,TL,2021-12-09 18:49:18
85,Huron,41.1501,-82.5499,38.32,74,100,12.97,US,2021-12-09 18:50:18
86,Puerto Ayora,-0.7393,-90.3518,76.96,81,99,8.97,EC,2021-12-09 18:50:19
87,Canutama,-6.5339,-64.3831,81.36,90,100,0.56,BR,2021-12-09 18:50:19
88,Thompson,55.7435,-97.8558,1.56,78,75,4.61,CA,2021-12-09 18:50:19
89,Ribeira Grande,38.5167,-28.7,61.2,77,75,8.05,PT,2021-12-09 18:50:20
90,Envira,-7.3,-70.2167,90.59,51,100,3.11,BR,2021-12-09 18:50:20
91,Kaitangata,-46.2817,169.8464,58.93,70,59,4.03,NZ,2021-12-09 18:50:20
92,Road Town,18.4167,-64.6167,86.09,62,40,10.36,VG,2021-12-09 18:45:23
93,Olafsvik,64.8945,-23.7142,37.29,83,99,11.23,IS,2021-12-09 18:50:21
94,Komsomolskiy,40.4272,71.7189,35.02,74,0,6.91,UZ,2021-12-09 18:50:21
95,Wilmington,34.2257,-77.9447,53.94,62,1,8.05,US,2021-12-09 18:47:51
96,Bambous Virieux,-20.3428,57.7575,77.25,78,75,3.44,MU,2021-12-09 18:50:21
97,Severo-Kurilsk,50.6789,156.125,32.29,81,9,9.08,RU,2021-12-09 18:50:22
98,Khani,41.9563,42.9566,42.37,97,100,1.45,GE,2021-12-09 18:50:22
99,Karaton,-6.3424,106.1045,80.96,94,100,2.75,ID,2021-12-09 18:50:22
100,Barda,40.3744,47.1267,53.94,51,99,6.04,AZ,2021-12-09 18:50:22
101,Asau,46.4333,26.4,33.96,84,100,2.33,RO,2021-12-09 18:50:23
102,Hithadhoo,-0.6,73.0833,81.09,80,100,10.92,MV,2021-12-09 18:50:23
103,Bollnas,61.3482,16.3946,28.38,98,100,2.98,SE,2021-12-09 18:50:23
104,San Quintin,30.4833,-115.95,62.56,79,100,8.86,MX,2021-12-09 18:46:10
105,Husavik,66.0449,-17.3389,26.51,91,100,6.38,IS,2021-12-09 18:50:24
106,Sala Consilina,40.3912,15.5989,43.38,98,100,4.29,IT,2021-12-09 18:50:24
107,Belgaum,15.8667,74.5,70.14,77,98,7.0,IN,2021-12-09 18:50:24
108,Mataura,-46.1927,168.8643,54.48,68,94,1.63,NZ,2021-12-09 18:50:24
109,New Norfolk,-42.7826,147.0587,53.65,69,100,0.96,AU,2021-12-09 18:50:25
110,Kapaa,22.0752,-159.319,77.32,79,75,3.0,US,2021-12-09 18:50:25
111,La Rochelle,46.1667,-1.15,52.95,100,90,13.8,FR,2021-12-09 18:50:25
112,General Roca,-39.0333,-67.5833,73.8,27,0,6.2,AR,2021-12-09 18:50:26
113,Lebu,-37.6167,-73.65,63.52,69,0,17.16,CL,2021-12-09 18:50:26
114,Hermanus,-34.4187,19.2345,71.91,88,100,13.47,ZA,2021-12-09 18:50:26
115,Mount Gambier,-37.8333,140.7667,53.51,82,90,10.36,AU,2021-12-09 18:50:27
116,Cabo San Lucas,22.8909,-109.9124,85.51,54,1,5.01,MX,2021-12-09 18:49:39
117,Meulaboh,4.1363,96.1285,77.95,88,100,2.86,ID,2021-12-09 18:50:27
118,Cape Town,-33.9258,18.4232,72.12,77,20,5.99,ZA,2021-12-09 18:48:19
119,Chuy,-33.6971,-53.4616,71.83,60,12,14.52,UY,2021-12-09 18:50:27
120,Hambantota,6.1241,81.1185,73.74,100,20,4.61,LK,2021-12-09 18:50:28
121,Staryy Nadym,65.6118,72.6842,-4.88,99,78,4.36,RU,2021-12-09 18:50:28
122,Jamestown,42.097,-79.2353,33.12,76,90,5.99,US,2021-12-09 18:50:28
123,Gorontalo,0.5412,123.0595,75.83,95,32,3.06,ID,2021-12-09 18:50:29
124,Barrow,71.2906,-156.7887,8.62,85,90,12.66,US,2021-12-09 18:50:29
125,Alta Floresta,-9.8756,-56.0861,82.22,83,40,9.22,BR,2021-12-09 18:50:29
126,Sorong,-0.8833,131.25,80.71,80,100,5.06,ID,2021-12-09 18:45:52
127,Norman Wells,65.282,-126.8329,8.64,78,90,10.36,CA,2021-12-09 18:50:30
128,Barabinsk,55.3571,78.357,9.99,95,100,13.62,RU,2021-12-09 18:50:30
129,Nuuk,64.1835,-51.7216,27.88,92,100,5.01,GL,2021-12-09 18:50:30
130,Nanortalik,60.1432,-45.2371,28.08,88,98,19.06,GL,2021-12-09 18:50:31
131,Belaya Gora,68.5333,146.4167,-42.63,99,100,2.33,RU,2021-12-09 18:50:31
132,Raudeberg,61.9875,5.1352,39.87,57,3,8.99,NO,2021-12-09 18:51:31
133,Dingle,10.9995,122.6711,75.0,87,100,10.94,PH,2021-12-09 18:51:32
134,Vaini,-21.2,-175.2,73.56,88,20,6.91,TO,2021-12-09 18:51:32
135,Pevek,69.7008,170.3133,-19.21,96,100,11.41,RU,2021-12-09 18:51:32
136,Sosnovo-Ozerskoye,52.5249,111.5418,8.22,89,100,6.44,RU,2021-12-09 18:51:33
137,Iqaluit,63.7506,-68.5145,6.53,72,90,14.97,CA,2021-12-09 18:51:33
138,Flin Flon,54.7682,-101.865,6.64,78,90,6.91,CA,2021-12-09 18:51:33
