City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Matanzas,CU,83.16,broken clouds,23.0411,-81.5775,hostal sueños
261,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
262,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
266,Batticaloa,LK,79.11,light rain,7.7102,81.6924,Grand Star Guest House
268,Buenos Aires,AR,80.28,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
269,Gigmoto,PH,78.87,overcast clouds,13.7796,124.39,Cj's Travellers Inn
274,Bubaque,GW,81.57,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
276,Senanga,ZM,80.87,overcast clouds,-16.1167,23.2667,Zango lodge
278,Prata,BR,86.72,overcast clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
280,Kirakira,SB,81.46,overcast clouds,-10.4544,161.9205,SanBiz Lodge
282,Tres Passos,BR,76.59,broken clouds,-27.4556,-53.9319,Hotel Imperial
285,Bonthe,SL,80.89,few clouds,7.5264,-12.505,Bonthe Holiday Village
286,Atar,MR,77.72,overcast clouds,20.5169,-13.0499,Oumou Elghoura
290,Umm Lajj,SA,77.45,overcast clouds,25.0213,37.2685,Moon light Furnished Units
295,Majene,ID,77.76,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
296,Realeza,BR,85.46,overcast clouds,-25.7689,-53.5325,Hotel Renascer
298,Namatanai,PG,79.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
307,Bundibugyo,UG,75.31,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
308,Sabang,ID,82.0,clear sky,5.8933,95.3214,Hotel Citra
314,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
318,Mogadishu,SO,79.65,overcast clouds,2.0371,45.3438,Hotel Juba
319,Natitingou,BJ,80.96,scattered clouds,10.3042,1.3796,Auberge Centrale
321,Jatai,BR,83.46,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
333,Paka,MY,76.06,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
339,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
345,Samarai,PG,81.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
346,Noumea,NC,82.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
351,Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
354,Wewak,PG,77.52,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
355,Poum,NC,78.58,overcast clouds,-20.2333,164.0167,Gîte kajeon
356,Kalmunai,LK,77.56,moderate rain,7.4167,81.8167,VS Villa
358,Sibolga,ID,76.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
359,High Rock,BS,80.62,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
364,Santa Cruz,BO,77.05,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
366,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
368,Gamba,GA,75.99,overcast clouds,-2.65,10.0,
373,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
374,Hobe Sound,US,86.02,scattered clouds,27.0595,-80.1364,Floridays RV Park
375,Marsh Harbour,BS,77.31,clear sky,26.5412,-77.0636,Abaco Beach Resort
376,Caravelas,BR,81.84,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
379,Bousso,TD,80.92,clear sky,10.4795,16.7117,
380,Manta,EC,76.78,light rain,-0.95,-80.7333,Balandra Hotel
382,Inirida,CO,87.37,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
385,Rio Grande,BR,86.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
393,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
399,Rawson,AR,75.15,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
400,Saint-Georges,GD,79.95,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
404,Camacari,BR,83.97,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
406,Omboue,GA,76.73,overcast clouds,-1.5746,9.2618,Hotel Olako
407,Kuantan,MY,75.42,overcast clouds,3.8077,103.326,Hotel Sentral Kuantan
410,General Roca,AR,76.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
411,Canchungo,GW,78.6,scattered clouds,12.0672,-16.0333,Aparthotel Napalach
413,Honiara,SB,78.53,overcast clouds,-9.4333,159.95,Heritage Park Hotel
414,Pak Phanang,TH,78.51,overcast clouds,8.3511,100.202,Green Park Inn Hotel
419,Bandiagara,ML,82.17,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
429,Chuy,UY,80.24,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
435,Topolobampo,MX,77.05,clear sky,25.6,-109.05,Hotel Marina Topolobampo
437,Kuching,MY,75.42,moderate rain,1.55,110.3333,The Ranee Boutique Suites
439,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
440,Ugoofaaru,MV,82.26,overcast clouds,5.6667,73.0,Ungoofaaru Inn
441,Padang,ID,77.59,overcast clouds,-0.9492,100.3543,Mercure Padang
443,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
447,Monrovia,LR,82.17,clear sky,6.3005,-10.7969,Sunset Inn
448,Davila,PH,75.74,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
451,Santa Maria,BR,88.93,broken clouds,-29.6842,-53.8069,Hotel Morotin
455,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
457,Inhambane,MZ,79.95,clear sky,-23.865,35.3833,Oceano
462,Monitos,CO,85.93,broken clouds,8.25,-76.05,Finca Aleman Gonzalez
463,Zvishavane,ZW,80.53,few clouds,-20.3267,30.0665,Hotel Boutique Runde
466,Bajil,YE,77.68,clear sky,15.0584,43.2851,فندق حضرموت
468,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
471,Oriximina,BR,82.8,light rain,-1.7656,-55.8661,Pousada Tia Amélia
475,Marihatag,PH,77.0,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
476,Takoradi,GH,81.05,overcast clouds,4.8845,-1.7554,Raybow International Hotel
480,Ikom,NG,81.97,overcast clouds,5.9667,8.7063,Reho Farm & Resort
481,Porto Novo,BJ,81.86,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
484,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
487,French Harbor,HN,84.2,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
490,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
492,Unai,BR,81.14,light rain,-16.3575,-46.9061,Hotel Regente
499,Ler,SS,81.23,broken clouds,8.3018,30.1418,
501,Cabo San Lucas,MX,79.18,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
503,Punta Alta,AR,80.17,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
504,Ayna,PE,75.6,overcast clouds,-12.65,-73.9167,
